osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
263384613,4,,,POINT (-77.0588657 -12.0920762),436318203,0.0020767410341993573
263384616,4,,,POINT (-77.0583371 -12.0910717),436318203,0.0010032397367781122
1381396012,4,,,POINT (-77.0854514 -11.9535721),4366593002,0.012777908561653789
1403252270,3,,,POINT (-76.83216 -12.1453892),481692453,0.12358804940244826
263613998,4,traffic_signals,,POINT (-77.0252315 -12.122077),408470422,0.003318452688452932
1381396014,4,,,POINT (-77.091898 -11.9535832),4366593002,0.014974429995829831
632155694,4,,,POINT (-77.15885059999999 -12.0689121),435879639,0.061829448764122004
1758293556,3,,,POINT (-77.13546669999999 -11.8484348),435198459,0.06150509358005227
1369042486,3,,,POINT (-77.0078812 -12.0427413),438861899,0.02137075209205371
1403252282,3,,,POINT (-76.8280654 -12.1425313),481692453,0.12857831459465627
1403252285,3,,,POINT (-76.8572779 -12.1650058),481692453,0.09188907625999329
1273982525,4,,,POINT (-76.9265053 -12.2022305),481692453,0.013932490261758837
1403252287,3,,,POINT (-76.8353986 -12.1462023),481692453,0.12043136120487309
1273589312,3,,,POINT (-76.9425682 -12.1982346),481692453,0.015680659345939946
1758293569,4,,,POINT (-77.1361299 -11.8488274),435198459,0.06203237037995556
5396196929,3,,,POINT (-76.998334 -12.1714753),437511292,0.031003123950703076
5396196925,3,,,POINT (-76.9967206 -12.1689816),437511292,0.02829527300595959
1384279618,3,,,POINT (-77.0970372 -11.9575973),4366593002,0.01571460456804723
