osmid,highway,street_count,geometry,NN,NN_dist
632683116,,3,POINT (-77.06576029999999 -12.0897643),632683116,0.0
1273469440,,3,POINT (-77.0631698 -12.0866327),1273469440,0.0
1273663181,turning_circle,3,POINT (-77.0622003 -12.0917987),6131131883,0.001073584449402216
1281213770,,4,POINT (-77.0714316 -12.0944144),1281213770,0.0
1425921958,,3,POINT (-77.05864510000001 -12.0971495),263376843,0.0005974401559992815
1425922005,,3,POINT (-77.06042619999999 -12.1002213),1425922063,0.0008091335427483991
1425922009,,3,POINT (-77.0581622 -12.0944786),263381649,0.0007399322198679982
1425922017,,3,POINT (-77.05858809999999 -12.0966161),263376843,0.00020751274658415103
1425922060,,3,POINT (-77.0599907 -12.098885),263374582,0.0022127118429665494
1428403905,,3,POINT (-77.0598985 -12.0969741),263375075,0.0009342326316332192
1943089978,,3,POINT (-77.0660233 -12.0897274),4347743565,2.628649843836324e-05
1943098885,traffic_signals,3,POINT (-77.0708522 -12.0957332),1943098936,6.754568824688322e-05
1943098908,,3,POINT (-77.0719332 -12.0970969),1943098908,0.0
1943098936,traffic_signals,3,POINT (-77.0707891 -12.0957573),1943098936,0.0
1943098977,traffic_signals,4,POINT (-77.0715 -12.0966013),1943098977,0.0
1943098980,traffic_signals,3,POINT (-77.071983 -12.0970789),1943098980,0.0
1943098984,traffic_signals,4,POINT (-77.0715561 -12.0965814),1943098984,0.0
2026775446,traffic_signals,4,POINT (-77.0692042 -12.0884758),2026775446,0.0
2026775448,,4,POINT (-77.0682324 -12.0888074),2026775448,0.0
2026775450,,4,POINT (-77.0672574 -12.0891646),2026775450,0.0
3019019688,,3,POINT (-77.0683537 -12.1009536),606182861,0.002657407001195344
3019019691,,3,POINT (-77.0695032 -12.1004343),606182861,0.00243040798427111
3019219769,,3,POINT (-77.0632312 -12.1001616),3019219769,0.0
3854554751,,3,POINT (-77.06113689999999 -12.0879228),3854554751,0.0
3965147472,,3,POINT (-77.0648473 -12.102699),3019219769,0.0030083513707633703
3990641391,,3,POINT (-77.06189569999999 -12.1048512),4343012535,0.0040064777860265525
3990641396,,3,POINT (-77.0621465 -12.1045932),1425922063,0.00388935671416349
3990727157,,3,POINT (-77.062465 -12.1006959),262727920,0.00022093594094246336
4139699309,,1,POINT (-77.0692188 -12.0865129),605673391,0.0006895406369502584
4143584350,,3,POINT (-77.0644629 -12.0878499),263386686,0.0003937040512772976
4143633099,,3,POINT (-77.06628069999999 -12.0895244),4347743565,0.00032832815900583396
4143633102,,3,POINT (-77.0616752 -12.1007565),4143633106,0.00012544839575876092
4143633106,,3,POINT (-77.06160490000001 -12.1006526),4143633106,0.0
4264725536,traffic_signals,4,POINT (-77.0595642 -12.0960328),4264725536,0.0
4264725537,,3,POINT (-77.0589178 -12.0964353),4264725537,0.0
4264725538,,4,POINT (-77.0588911 -12.0963469),4264725537,9.234419310496402e-05
4331730492,,3,POINT (-77.0667181 -12.1014778),606182861,0.003574611700587058
4331730530,,3,POINT (-77.07303570000001 -12.0975663),606182822,0.0008829936013372386
4331730540,,3,POINT (-77.073138 -12.0978112),606182822,0.0011341577491670253
4331730541,,3,POINT (-77.07340430000001 -12.0976421),606182822,0.0012127087449204015
4331730552,,3,POINT (-77.0732316 -12.0974409),606182822,0.0009569563887629071
4332962444,,4,POINT (-77.06948199999999 -12.0999655),606182861,0.002018272986985224
