osmid,ref,highway,street_count,geometry,NN,NN_dist
1382748881,,,3,POINT (-77.0812863 -11.9297332),1382690595,0.0015455315849249895
1382748884,,,3,POINT (-77.0811923 -11.9298557),1382690595,0.001612973877654061
1382748891,,,3,POINT (-77.0829229 -11.9298916),1382690591,0.002786535041946337
1382748893,,,3,POINT (-77.0847382 -11.9300297),1383621669,0.001614243070289395
1382748895,,,3,POINT (-77.0827285 -11.9301885),1382690591,0.0028166466675825525
1382748896,,,3,POINT (-77.08396999999999 -11.9303965),1383621669,0.0024121023382098943
1382748898,,,3,POINT (-77.0804816 -11.9307821),1382690607,0.001911632119421697
1382748900,,,4,POINT (-77.08375839999999 -11.9307819),1383621669,0.0028310437386224806
1382748902,,,3,POINT (-77.0820841 -11.9309991),1382725054,0.002510489492110966
1382748912,,,4,POINT (-77.0841873 -11.9310161),1383621669,0.0027336483350991073
1382748914,,,3,POINT (-77.0819686 -11.9311336),1382725054,0.002386579076836628
1382748916,,,3,POINT (-77.0818874 -11.9312282),1382725054,0.002303605966739427
1382748919,,,3,POINT (-77.081745 -11.9313939),1382725054,0.00216795609272814
1382748920,,,3,POINT (-77.0839254 -11.9314513),1382725054,0.002657154481772746
1382748940,,,3,POINT (-77.0836889 -11.9318456),1382725054,0.002203375746441219
1382748953,,,3,POINT (-77.0830263 -11.9320237),1382725054,0.0016773017170461806
1382748961,,,4,POINT (-77.08344409999999 -11.9322515),1382725054,0.0017386160847057048
1382748971,,,3,POINT (-77.08279280000001 -11.9323902),1382725054,0.0012445548802730477
1382748982,,,3,POINT (-77.08320190000001 -11.9326823),1382725054,0.00126628989177846
1382748988,,,3,POINT (-77.0823967 -11.9328577),1382725054,0.0006660151424726369
1382748997,,,3,POINT (-77.0820356 -11.9330099),1382725054,0.0005351058399968563
